sequence,quest_id,milestone,chapter,kind,title,concept,prompt,expected_output,workspace,files
1,ADA-DW-01-01,1,Create the Alire Project Correctly,Orientation,1.1 — Understand the Next Milestone,Alire workspace creation and project layout,"Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 1: Create the Alire Project Correctly.",The current directory contains alire.toml and src/dungeon_walk.adb.,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb
2,ADA-DW-01-02,1,Create the Alire Project Correctly,Question,1.2 — Answer the Core Ada Question,Alire workspace creation and project layout,"What do --bin and --in-place change when you run alr init, and why do we create the directory before running the command?",The current directory contains alire.toml and src/dungeon_walk.adb.,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb
3,ADA-DW-01-03,1,Create the Alire Project Correctly,Build,1.3 — Build the Milestone,Alire workspace creation and project layout,Implement milestone 1: Create the Alire Project Correctly. Work only in the existing dungeon_walk crate.,The current directory contains alire.toml and src/dungeon_walk.adb.,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb
4,ADA-DW-01-04,1,Create the Alire Project Correctly,Predict,1.4 — Predict Before Running,Alire workspace creation and project layout,"If you run `alr init --bin dungeon_walk` while already inside an empty directory named dungeon_walk, what directory layout are you likely to create?",The current directory contains alire.toml and src/dungeon_walk.adb.,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb
5,ADA-DW-01-05,1,Create the Alire Project Correctly,Repair,1.5 — Repair a Focused Defect,Alire workspace creation and project layout,"The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.",The current directory contains alire.toml and src/dungeon_walk.adb.,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb
6,ADA-DW-01-06,1,Create the Alire Project Correctly,Checkpoint,1.6 — Demonstrate and Explain the Checkpoint,Alire workspace creation and project layout,"Build and demonstrate milestone 1. Then explain, without reading the source line by line, how Alire workspace creation and project layout makes the new behavior work.",The current directory contains alire.toml and src/dungeon_walk.adb.,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb
7,ADA-DW-02-01,2,"Build, Run, and Edit the Generated Program",Orientation,2.1 — Understand the Next Milestone,Compilation cycle and Ada procedure structure,"Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 2: Build, Run, and Edit the Generated Program.","Dungeon Walk
You wake inside a silent ship.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; alire.toml
8,ADA-DW-02-02,2,"Build, Run, and Edit the Generated Program",Question,2.2 — Answer the Core Ada Question,Compilation cycle and Ada procedure structure,Why is the file named dungeon_walk.adb and the outer procedure named Dungeon_Walk?,"Dungeon Walk
You wake inside a silent ship.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; alire.toml
9,ADA-DW-02-03,2,"Build, Run, and Edit the Generated Program",Build,2.3 — Build the Milestone,Compilation cycle and Ada procedure structure,"Implement milestone 2: Build, Run, and Edit the Generated Program. Work only in the existing dungeon_walk crate.","Dungeon Walk
You wake inside a silent ship.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; alire.toml
10,ADA-DW-02-04,2,"Build, Run, and Edit the Generated Program",Predict,2.4 — Predict Before Running,Compilation cycle and Ada procedure structure,What happens if the final line says `end Other_Name;` instead of `end Dungeon_Walk;`?,"Dungeon Walk
You wake inside a silent ship.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; alire.toml
11,ADA-DW-02-05,2,"Build, Run, and Edit the Generated Program",Repair,2.5 — Repair a Focused Defect,Compilation cycle and Ada procedure structure,"The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.","Dungeon Walk
You wake inside a silent ship.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; alire.toml
12,ADA-DW-02-06,2,"Build, Run, and Edit the Generated Program",Checkpoint,2.6 — Demonstrate and Explain the Checkpoint,Compilation cycle and Ada procedure structure,"Build and demonstrate milestone 2. Then explain, without reading the source line by line, how Compilation cycle and Ada procedure structure makes the new behavior work.","Dungeon Walk
You wake inside a silent ship.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; alire.toml
13,ADA-DW-03-01,3,Import Text I/O and Read Ada Declarations,Orientation,3.1 — Understand the Next Milestone,"with clauses, use clauses, declarations, and begin/end","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 3: Import Text I/O and Read Ada Declarations.",The program builds both with fully qualified calls and with the use clause.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
14,ADA-DW-03-02,3,Import Text I/O and Read Ada Declarations,Question,3.2 — Answer the Core Ada Question,"with clauses, use clauses, declarations, and begin/end",What is the difference between `with Ada.Text_IO;` and `use Ada.Text_IO;`?,The program builds both with fully qualified calls and with the use clause.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
15,ADA-DW-03-03,3,Import Text I/O and Read Ada Declarations,Build,3.3 — Build the Milestone,"with clauses, use clauses, declarations, and begin/end",Implement milestone 3: Import Text I/O and Read Ada Declarations. Work only in the existing dungeon_walk crate.,The program builds both with fully qualified calls and with the use clause.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
16,ADA-DW-03-04,3,Import Text I/O and Read Ada Declarations,Predict,3.4 — Predict Before Running,"with clauses, use clauses, declarations, and begin/end",Can a variable declaration be placed after `begin` beside Put_Line?,The program builds both with fully qualified calls and with the use clause.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
17,ADA-DW-03-05,3,Import Text I/O and Read Ada Declarations,Repair,3.5 — Repair a Focused Defect,"with clauses, use clauses, declarations, and begin/end","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.",The program builds both with fully qualified calls and with the use clause.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
18,ADA-DW-03-06,3,Import Text I/O and Read Ada Declarations,Checkpoint,3.6 — Demonstrate and Explain the Checkpoint,"with clauses, use clauses, declarations, and begin/end","Build and demonstrate milestone 3. Then explain, without reading the source line by line, how with clauses, use clauses, declarations, and begin/end makes the new behavior work.",The program builds both with fully qualified calls and with the use clause.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
19,ADA-DW-04-01,4,Add Screen Settings and Player State,Orientation,4.1 — Understand the Next Milestone,"constants, variables, Positive, Float, Boolean, and Character","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 4: Add Screen Settings and Player State.","The program still builds, and the new declarations exist before begin.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
20,ADA-DW-04-02,4,Add Screen Settings and Player State,Question,4.2 — Answer the Core Ada Question,"constants, variables, Positive, Float, Boolean, and Character",Why should Screen_Width be constant while Player_X remains a variable?,"The program still builds, and the new declarations exist before begin.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
21,ADA-DW-04-03,4,Add Screen Settings and Player State,Build,4.3 — Build the Milestone,"constants, variables, Positive, Float, Boolean, and Character",Implement milestone 4: Add Screen Settings and Player State. Work only in the existing dungeon_walk crate.,"The program still builds, and the new declarations exist before begin.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
22,ADA-DW-04-04,4,Add Screen Settings and Player State,Predict,4.4 — Predict Before Running,"constants, variables, Positive, Float, Boolean, and Character",Would `Screen_Width : constant Positive := 0;` compile and run successfully?,"The program still builds, and the new declarations exist before begin.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
23,ADA-DW-04-05,4,Add Screen Settings and Player State,Repair,4.5 — Repair a Focused Defect,"constants, variables, Positive, Float, Boolean, and Character","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.","The program still builds, and the new declarations exist before begin.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
24,ADA-DW-04-06,4,Add Screen Settings and Player State,Checkpoint,4.6 — Demonstrate and Explain the Checkpoint,"constants, variables, Positive, Float, Boolean, and Character","Build and demonstrate milestone 4. Then explain, without reading the source line by line, how constants, variables, Positive, Float, Boolean, and Character makes the new behavior work.","The program still builds, and the new declarations exist before begin.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
25,ADA-DW-05-01,5,Create the Main Input Loop,Orientation,5.1 — Understand the Next Milestone,"while loops, immediate character input, and case statements","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 5: Create the Main Input Loop.",The program reacts to W/A/S/D and exits when Q is pressed without requiring Enter.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
26,ADA-DW-05-02,5,Create the Main Input Loop,Question,5.2 — Answer the Core Ada Question,"while loops, immediate character input, and case statements",Why does the case statement need `when others => null;`?,The program reacts to W/A/S/D and exits when Q is pressed without requiring Enter.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
27,ADA-DW-05-03,5,Create the Main Input Loop,Build,5.3 — Build the Milestone,"while loops, immediate character input, and case statements",Implement milestone 5: Create the Main Input Loop. Work only in the existing dungeon_walk crate.,The program reacts to W/A/S/D and exits when Q is pressed without requiring Enter.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
28,ADA-DW-05-04,5,Create the Main Input Loop,Predict,5.4 — Predict Before Running,"while loops, immediate character input, and case statements",What is the difference between assigning `Running := False` and writing `exit` in the Q branch?,The program reacts to W/A/S/D and exits when Q is pressed without requiring Enter.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
29,ADA-DW-05-05,5,Create the Main Input Loop,Repair,5.5 — Repair a Focused Defect,"while loops, immediate character input, and case statements","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.",The program reacts to W/A/S/D and exits when Q is pressed without requiring Enter.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
30,ADA-DW-05-06,5,Create the Main Input Loop,Checkpoint,5.6 — Demonstrate and Explain the Checkpoint,"while loops, immediate character input, and case statements","Build and demonstrate milestone 5. Then explain, without reading the source line by line, how while loops, immediate character input, and case statements makes the new behavior work.",The program reacts to W/A/S/D and exits when Q is pressed without requiring Enter.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
31,ADA-DW-06-01,6,Model the Ship Map with a Subtype and Array,Orientation,6.1 — Understand the Next Milestone,"String constraints, subtypes, arrays, and multidimensional indexing","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 6: Model the Ship Map with a Subtype and Array.",Changing any row from 16 characters to 15 causes compilation to fail; restoring it succeeds.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
32,ADA-DW-06-02,6,Model the Ship Map with a Subtype and Array,Question,6.2 — Answer the Core Ada Question,"String constraints, subtypes, arrays, and multidimensional indexing",Why use `Map_Row` instead of declaring Ship_Map as a loose collection of ordinary Strings?,Changing any row from 16 characters to 15 causes compilation to fail; restoring it succeeds.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
33,ADA-DW-06-03,6,Model the Ship Map with a Subtype and Array,Build,6.3 — Build the Milestone,"String constraints, subtypes, arrays, and multidimensional indexing",Implement milestone 6: Model the Ship Map with a Subtype and Array. Work only in the existing dungeon_walk crate.,Changing any row from 16 characters to 15 causes compilation to fail; restoring it succeeds.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
34,ADA-DW-06-04,6,Model the Ship Map with a Subtype and Array,Predict,6.4 — Predict Before Running,"String constraints, subtypes, arrays, and multidimensional indexing",Which expression selects column 5 from row 3: `Ship_Map (5) (3)` or `Ship_Map (3) (5)`?,Changing any row from 16 characters to 15 causes compilation to fail; restoring it succeeds.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
