sequence,quest_id,project,chapter,kind,title,workspace,files,prompt,verification
1,ADA-P1-01-01,Project 1 — Dungeon Walk,Create the Alire Workspace,Question,Create the Alire Workspace — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb; README.md,"Answer one focused question before editing code: How should Alire crates and build workflow be used to accomplish this milestone: Create the dungeon_walk crate, understand alire.toml, build it, run it, and locate generated artifacts.",alr build and alr run both succeed from the crate root.
2,ADA-P1-01-02,Project 1 — Dungeon Walk,Create the Alire Workspace,Code Reading,Create the Alire Workspace — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb; README.md,"Read the current implementation around alire.toml, src/dungeon_walk.adb, README.md. Trace how data enters, changes, and leaves the code for this milestone: Create the dungeon_walk crate, understand alire.toml, build it, run it, and locate generated artifacts.",alr build and alr run both succeed from the crate root.
3,ADA-P1-01-03,Project 1 — Dungeon Walk,Create the Alire Workspace,Predict,Create the Alire Workspace — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb; README.md,Predict the exact behavior if the implementation encounters this problem: Running commands outside the crate or editing generated build artifacts instead of source.,alr build and alr run both succeed from the crate root.
4,ADA-P1-01-04,Project 1 — Dungeon Walk,Create the Alire Workspace,Implement,Create the Alire Workspace — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb; README.md,"Implement the core milestone in the existing dungeon_walk crate: Create the dungeon_walk crate, understand alire.toml, build it, run it, and locate generated artifacts.",alr build and alr run both succeed from the crate root.
5,ADA-P1-01-05,Project 1 — Dungeon Walk,Create the Alire Workspace,Extend,Create the Alire Workspace — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb; README.md,Extend the completed milestone with this practical variation: Add debug and release build profiles plus a repeatable run command.,alr build and alr run both succeed from the crate root.
6,ADA-P1-01-06,Project 1 — Dungeon Walk,Create the Alire Workspace,Test,Create the Alire Workspace — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb; README.md,"Create automated or repeatable tests that prove the milestone and its boundaries: Create the dungeon_walk crate, understand alire.toml, build it, run it, and locate generated artifacts.",alr build and alr run both succeed from the crate root.
7,ADA-P1-01-07,Project 1 — Dungeon Walk,Create the Alire Workspace,Repair,Create the Alire Workspace — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb; README.md,Reproduce and repair this defect class in the current project: Running commands outside the crate or editing generated build artifacts instead of source.,alr build and alr run both succeed from the crate root.
8,ADA-P1-01-08,Project 1 — Dungeon Walk,Create the Alire Workspace,Refactor,Create the Alire Workspace — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb; README.md,Refactor the chapter implementation so Alire crates and build workflow is clearer without changing behavior.,alr build and alr run both succeed from the crate root.
9,ADA-P1-01-09,Project 1 — Dungeon Walk,Create the Alire Workspace,Integrate,Create the Alire Workspace — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb; README.md,"Integrate this chapter into the running final product so it works with earlier milestones: Create the dungeon_walk crate, understand alire.toml, build it, run it, and locate generated artifacts.",alr build and alr run both succeed from the crate root.
10,ADA-P1-01-10,Project 1 — Dungeon Walk,Create the Alire Workspace,Review,Create the Alire Workspace — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,alire.toml; src/dungeon_walk.adb; README.md,Perform a senior-style checkpoint review of Create the Alire Workspace in Dungeon Walk.,alr build and alr run both succeed from the crate root.
11,ADA-P1-02-01,Project 1 — Dungeon Walk,Terminal Output and Player Commands,Question,Terminal Output and Player Commands — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/terminal_ui.ads; src/terminal_ui.adb,"Answer one focused question before editing code: How should Ada.Text_IO and basic input be used to accomplish this milestone: Print a title screen, prompt for a command, read input, and echo a normalized command.","The program repeatedly accepts Q, quit, W, A, S, and D without crashing."
12,ADA-P1-02-02,Project 1 — Dungeon Walk,Terminal Output and Player Commands,Code Reading,Terminal Output and Player Commands — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/terminal_ui.ads; src/terminal_ui.adb,"Read the current implementation around src/dungeon_walk.adb, src/terminal_ui.ads, src/terminal_ui.adb. Trace how data enters, changes, and leaves the code for this milestone: Print a title screen, prompt for a command, read input, and echo a normalized command.","The program repeatedly accepts Q, quit, W, A, S, and D without crashing."
13,ADA-P1-02-03,Project 1 — Dungeon Walk,Terminal Output and Player Commands,Predict,Terminal Output and Player Commands — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/terminal_ui.ads; src/terminal_ui.adb,"Predict the exact behavior if the implementation encounters this problem: Get_Line length handling, leftover input, or comparing strings with unexpected spaces/case.","The program repeatedly accepts Q, quit, W, A, S, and D without crashing."
14,ADA-P1-02-04,Project 1 — Dungeon Walk,Terminal Output and Player Commands,Implement,Terminal Output and Player Commands — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/terminal_ui.ads; src/terminal_ui.adb,"Implement the core milestone in the existing dungeon_walk crate: Print a title screen, prompt for a command, read input, and echo a normalized command.","The program repeatedly accepts Q, quit, W, A, S, and D without crashing."
15,ADA-P1-02-05,Project 1 — Dungeon Walk,Terminal Output and Player Commands,Extend,Terminal Output and Player Commands — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/terminal_ui.ads; src/terminal_ui.adb,Extend the completed milestone with this practical variation: Support both full words and single-letter movement commands.,"The program repeatedly accepts Q, quit, W, A, S, and D without crashing."
16,ADA-P1-02-06,Project 1 — Dungeon Walk,Terminal Output and Player Commands,Test,Terminal Output and Player Commands — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/terminal_ui.ads; src/terminal_ui.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Print a title screen, prompt for a command, read input, and echo a normalized command.","The program repeatedly accepts Q, quit, W, A, S, and D without crashing."
17,ADA-P1-02-07,Project 1 — Dungeon Walk,Terminal Output and Player Commands,Repair,Terminal Output and Player Commands — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/terminal_ui.ads; src/terminal_ui.adb,"Reproduce and repair this defect class in the current project: Get_Line length handling, leftover input, or comparing strings with unexpected spaces/case.","The program repeatedly accepts Q, quit, W, A, S, and D without crashing."
18,ADA-P1-02-08,Project 1 — Dungeon Walk,Terminal Output and Player Commands,Refactor,Terminal Output and Player Commands — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/terminal_ui.ads; src/terminal_ui.adb,Refactor the chapter implementation so Ada.Text_IO and basic input is clearer without changing behavior.,"The program repeatedly accepts Q, quit, W, A, S, and D without crashing."
19,ADA-P1-02-09,Project 1 — Dungeon Walk,Terminal Output and Player Commands,Integrate,Terminal Output and Player Commands — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/terminal_ui.ads; src/terminal_ui.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Print a title screen, prompt for a command, read input, and echo a normalized command.","The program repeatedly accepts Q, quit, W, A, S, and D without crashing."
20,ADA-P1-02-10,Project 1 — Dungeon Walk,Terminal Output and Player Commands,Review,Terminal Output and Player Commands — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/terminal_ui.ads; src/terminal_ui.adb,Perform a senior-style checkpoint review of Terminal Output and Player Commands in Dungeon Walk.,"The program repeatedly accepts Q, quit, W, A, S, and D without crashing."
21,ADA-P1-03-01,Project 1 — Dungeon Walk,"Variables, Constants, and Game State",Question,"Variables, Constants, and Game State — Question",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_state.ads,"Answer one focused question before editing code: How should Variables, constants, assignment, and scope be used to accomplish this milestone: Track player position, heading, running state, and immutable map dimensions.",Movement changes variables while dimensions and configuration remain constant.
22,ADA-P1-03-02,Project 1 — Dungeon Walk,"Variables, Constants, and Game State",Code Reading,"Variables, Constants, and Game State — Code Reading",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_state.ads,"Read the current implementation around src/dungeon_walk.adb, src/game_state.ads. Trace how data enters, changes, and leaves the code for this milestone: Track player position, heading, running state, and immutable map dimensions.",Movement changes variables while dimensions and configuration remain constant.
23,ADA-P1-03-03,Project 1 — Dungeon Walk,"Variables, Constants, and Game State",Predict,"Variables, Constants, and Game State — Predict",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_state.ads,Predict the exact behavior if the implementation encounters this problem: Using magic numbers everywhere or accidentally shadowing state in a nested block.,Movement changes variables while dimensions and configuration remain constant.
24,ADA-P1-03-04,Project 1 — Dungeon Walk,"Variables, Constants, and Game State",Implement,"Variables, Constants, and Game State — Implement",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_state.ads,"Implement the core milestone in the existing dungeon_walk crate: Track player position, heading, running state, and immutable map dimensions.",Movement changes variables while dimensions and configuration remain constant.
25,ADA-P1-03-05,Project 1 — Dungeon Walk,"Variables, Constants, and Game State",Extend,"Variables, Constants, and Game State — Extend",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_state.ads,Extend the completed milestone with this practical variation: Add a turn counter and display the current state after every command.,Movement changes variables while dimensions and configuration remain constant.
26,ADA-P1-03-06,Project 1 — Dungeon Walk,"Variables, Constants, and Game State",Test,"Variables, Constants, and Game State — Test",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_state.ads,"Create automated or repeatable tests that prove the milestone and its boundaries: Track player position, heading, running state, and immutable map dimensions.",Movement changes variables while dimensions and configuration remain constant.
