quest_id,sequence,level,stage_name,difficulty,kind,concept,title,summary,prompt,xp,uses_gtkada
ADA-0001,1,1,Alire and Ada Foundations,Foundation,Recall,Alire crate lifecycle,Recall: Alire crate lifecycle,"Recall practice for Alire crate lifecycle, emphasizing creating, building, running, cleaning, and inspecting an Alire crate.","Define Alire crate lifecycle without looking it up. State the Ada rule, the problem it solves, and one misuse to avoid. Focus on creating, building, running, cleaning, and inspecting an Alire crate.",60,False
ADA-0002,2,1,Alire and Ada Foundations,Foundation,Explain,Alire crate lifecycle,Explain: Alire crate lifecycle,"Explain practice for Alire crate lifecycle, emphasizing creating, building, running, cleaning, and inspecting an Alire crate.","Explain Alire crate lifecycle to a competent C++ developer who is new to Ada. Compare the closest C++ idea, then explain where the comparison breaks down. Focus on creating, building, running, cleaning, and inspecting an Alire crate.",72,False
ADA-0003,3,1,Alire and Ada Foundations,Foundation,Read,Alire crate lifecycle,Read: Alire crate lifecycle,"Read practice for Alire crate lifecycle, emphasizing creating, building, running, cleaning, and inspecting an Alire crate.","Create or locate a minimal compiling Ada example that demonstrates Alire crate lifecycle. Annotate every line related to the concept and explain how the compiler enforces creating, building, running, cleaning, and inspecting an Alire crate.",84,False
ADA-0004,4,1,Alire and Ada Foundations,Foundation,Predict,Alire crate lifecycle,Predict: Alire crate lifecycle,"Predict practice for Alire crate lifecycle, emphasizing creating, building, running, cleaning, and inspecting an Alire crate.","Write a small Ada program involving Alire crate lifecycle. Before building it, predict the compiler result and runtime behavior. Build and run it, then explain every difference between prediction and observation. Focus on creating, building, running, cleaning, and inspecting an Alire crate.",96,False
ADA-0005,5,1,Alire and Ada Foundations,Foundation,Repair,Alire crate lifecycle,Repair: Alire crate lifecycle,"Repair practice for Alire crate lifecycle, emphasizing creating, building, running, cleaning, and inspecting an Alire crate.","Start with a minimal working example of Alire crate lifecycle, introduce one realistic defect involving creating, building, running, cleaning, and inspecting an Alire crate, and then repair it. Preserve the diagnostic and explain why the repaired version is correct.",108,False
ADA-0006,6,1,Alire and Ada Foundations,Foundation,Write,Alire crate lifecycle,Write: Alire crate lifecycle,"Write practice for Alire crate lifecycle, emphasizing creating, building, running, cleaning, and inspecting an Alire crate.","From an empty Alire binary crate, implement a focused example of Alire crate lifecycle. Use domain names from avionics, simulation, or game tooling and make creating, building, running, cleaning, and inspecting an Alire crate visible in the design.",120,False
ADA-0007,7,1,Alire and Ada Foundations,Foundation,Test,Alire crate lifecycle,Test: Alire crate lifecycle,"Test practice for Alire crate lifecycle, emphasizing creating, building, running, cleaning, and inspecting an Alire crate.","Add tests for a package that uses Alire crate lifecycle. Include a normal case, a boundary case, and a failure or misuse case related to creating, building, running, cleaning, and inspecting an Alire crate.",132,False
ADA-0008,8,1,Alire and Ada Foundations,Foundation,Refactor,Alire crate lifecycle,Refactor: Alire crate lifecycle,"Refactor practice for Alire crate lifecycle, emphasizing creating, building, running, cleaning, and inspecting an Alire crate.","Take a working but weak Ada solution involving Alire crate lifecycle and refactor it for stronger typing, clearer package boundaries, and easier testing. Explain how the refactor improves creating, building, running, cleaning, and inspecting an Alire crate.",144,False
ADA-0009,9,1,Alire and Ada Foundations,Foundation,Design,Alire crate lifecycle,Design: Alire crate lifecycle,"Design practice for Alire crate lifecycle, emphasizing creating, building, running, cleaning, and inspecting an Alire crate.","Design a production-quality package or subsystem that depends on Alire crate lifecycle. Specify the public API, hidden representation, contracts, error policy, tests, and dependency direction. Emphasize creating, building, running, cleaning, and inspecting an Alire crate.",156,False
ADA-0010,10,1,Alire and Ada Foundations,Foundation,Senior Review,Alire crate lifecycle,Senior Review: Alire crate lifecycle,"Senior Review practice for Alire crate lifecycle, emphasizing creating, building, running, cleaning, and inspecting an Alire crate.","Perform a senior-level review of an implementation using Alire crate lifecycle. Identify correctness, maintainability, concurrency, performance, portability, and test risks. Recommend a prioritized improvement plan centered on creating, building, running, cleaning, and inspecting an Alire crate.",168,False
